key,name,side_effects
a603010,Adalimumab Injection,"['redness, itching, bruising, pain, or swelling in the place you injected adalimumab injection', 'nausea', 'headache', 'back pain', 'numbness or tingling, problems with vision, weakness in legs, dizziness', 'shortness of breath, swelling of the feet, ankles, or lower legs', 'chest pain, shortness of breath, new joint pain, rash, especially a rash on the cheeks or arms that is sensitive to sunlight', 'itching, hives; difficulty breathing or swallowing; swelling of the face, eyes, lips, or mouth', 'unusual bruising or bleeding pale skin', 'red, scaly patches or pus-filled bumps on the skin']"
a622008,Abrocitinib,"['cold symptoms including stuffy or runny nose, sneezing, sore throat', 'nausea', 'headache', 'dizziness', 'acne', 'vomiting', 'mouth and throat pain', 'rash', 'stomach pain', 'sudden changes in vision', 'tiredness, shortness of breath, or pale skin', 'unusual bruising or bleeding']"
a681043,Isotretinoin,"['red, cracked, and sore lips', 'dry skin, eyes, mouth, or nose', 'nosebleeds', 'changes in skin color', 'peeling skin on the palms of the hands and soles of the feet', 'changes in the nails', 'slowed healing of cuts or sores', 'bleeding or swollen gums', 'hair loss or unwanted hair growth', 'sweating', 'flushing', 'voice changes', 'tiredness', 'cold symptoms', 'headache', 'blurred vision', 'dizziness', 'nausea', 'vomiting', 'seizures', 'slow or difficult speech', 'weakness or numbness of one part or side of the body', 'stomach pain', 'chest pain', 'difficulty swallowing or pain when swallowing', 'new or worsening heartburn', 'diarrhea', 'rectal bleeding', 'yellowing of the skin or eyes', 'dark colored urine', 'back, bone, joint or muscle pain', 'muscle weakness', 'difficulty hearing', 'ringing in the ears', 'vision problems', 'painful or constant dryness of the eyes', 'unusual thirst', 'frequent urination', 'trouble breathing', 'fainting', 'fast or pounding heartbeat', 'red, swollen, itchy, or teary eyes', 'fever', 'rash', 'peeling or blistering skin, especially on the legs, arms, or face', 'sores in the mouth, throat, nose, or eyes', 'red patches or bruises on the legs', 'swelling of the eyes, face, lips, tongue, throat, arms, hands, feet, ankles, or lower legs', 'difficulty swallowing or pain when swallowing']"
a605043,Fentanyl,"['drowsiness', 'headache', 'stomach pain', 'gas', 'heartburn', 'weight loss', 'difficulty urinating', 'changes in vision', 'anxiety', 'depression', 'unusual thinking', 'unusual dreams', 'difficulty falling asleep or staying asleep', 'dry mouth', 'sudden reddening of the face, neck, or upper chest', 'uncontrollable shaking of a part of the body', 'back pain', 'pain, sores, or irritation in the mouth in the area where you placed the medication', 'swelling of the hands, arms, feet, ankles, or lower legs', 'changes in heartbeat', 'agitation, hallucinations (seeing things or hearing voices that do not exist), fever, sweating, confusion, fast heartbeat, shivering, severe muscle stiffness or twitching, loss of coordination,or diarrhea', 'nausea, vomiting, loss of appetite, weakness, or dizziness', 'inability to get or keep an erection', 'irregular menstruation', 'decreased sexual desire', 'seizures', 'rash; hives; itching; hoarseness; difficulty breathing or swallowing; or swelling of the face, mouth, tongue or throat', 'changes in heartbeat', 'chest pain', 'extreme drowsiness']"
a618004,Acalabrutinib,"['headache', 'nausea', 'vomiting', 'constipation', 'diarrhea', 'abdominal pain', 'rash', 'light bruising or small red or purple spots on skin', 'joint or muscle pain', 'extreme tiredness', 'fever, sore throat, chills, or other signs of infection', 'cough, shortness of breath, chest pain when you breathe or cough, fever', 'fast or irregular heartbeat, palpitations, feeling lightheaded or dizzy, fainting, shortness of breath, chest pain', 'unusual or severe bleeding or bruising', 'blood in your stools or black, tarry stools; pink or brown urine; vomiting blood or coffee ground vomit; coughing up blood', 'feeling dizzy, weak, or confused; changes in speech; headache that lasts a long time']"
a604028,Acamprosate,"['diarrhea', 'gas', 'upset stomach', 'loss of appetite', 'dry mouth', 'dizziness', 'itching', 'weakness', 'nausea', 'anxiety', 'difficulty falling asleep or staying asleep', 'sweating', 'burning, tingling, or numbness in the hands, feet, arms, or legs', 'rash']"
a601026,Benzoyl Peroxide Topical,"['dryness or peeling of skin', 'feeling of warmth', 'tingling', 'slight stinging', 'burning, blistering, redness, or swelling of the area of the treated area', 'rash', 'hives', 'itching', 'throat tightness', 'difficulty breathing', 'feeling faint', 'swelling of the eyes, face, lips, or tongue']"
a696015,Acarbose,"['shakiness', 'dizziness or lightheadedness', 'sweating', 'nervousness or irritability', 'sudden changes in behavior or mood', 'headache', 'numbness or tingling around the mouth', 'weakness', 'pale skin', 'hunger', 'clumsy or jerky movements', 'confusion', 'seizures', 'loss of consciousness', 'extreme thirst', 'frequent urination', 'extreme hunger', 'weakness', 'blurred vision', 'dry mouth', 'upset stomach and vomiting', 'shortness of breath', 'breath that smells fruity', 'decreased consciousness']"
a697007,Zafirlukast,"['headache', 'nausea', 'loss of appetite', 'pain in the right upper part of your stomach', 'excessive tiredness', 'lack of energy', 'itching', 'yellowing of the skin or eyes', 'flu-like symptoms', 'rash', 'swelling of the eyes, face, lips, tongue, or throat', 'difficulty breathing or swallowing', 'hoarseness', 'pain, burning, numbness, or tingling in the hands or feet']"
a682619,Pseudoephedrine,"['restlessness', 'nausea', 'vomiting', 'weakness', 'headache', 'nervousness', 'dizziness', 'difficulty sleeping', 'stomach pain', 'difficulty breathing', 'fast, pounding, or irregular heartbeat']"
a607004,Albuterol,"['nervousness', 'shakiness', 'dizziness', 'headache', 'uncontrollable shaking of a part of the body', 'muscle cramps', 'excessive motion or activity', 'sudden changes in mood', 'nosebleed', 'nausea', 'increased or decreased appetite', 'difficulty falling asleep or staying asleep', 'pale skin', 'fast, pounding, or irregular heartbeat', 'chest pain', 'fever', 'blisters or rash', 'hives', 'itching', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'increased difficulty breathing', 'difficulty swallowing', 'hoarseness']"
a692026,Quinapril,"['dizziness', 'excessive tiredness', 'cough', 'upset stomach', 'vomiting', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'difficulty breathing or swallowing', 'yellowing of the skin or eyes', 'fever, sore throat, chills, and other signs of infection', 'chest pain', 'lightheadedness', 'fainting']"
a681006,Theophylline,"['upset stomach', 'stomach pain', 'diarrhea', 'headache', 'restlessness', 'difficulty falling asleep or staying asleep', 'irritability', 'vomiting', 'increased or rapid heart rate', 'irregular heartbeat', 'seizures', 'rash']"
a682571,Hydrochlorothiazide,"['frequent urination', 'diarrhea', 'loss of appetite', 'headache', 'hair loss', 'dry mouth; thirst; nausea; vomiting; weakness, tiredness; drowsiness; restlessness; confusion; muscle weakness, pain, or cramps; fast heartbeat and other signs of dehydration and electrolyte imbalance', 'blisters or peeling skin', 'hives', 'rash', 'itching', 'difficulty breathing or swallowing', 'fever, sore throat, chills, and other signs of infection', 'unusual bleeding or bruising', 'ongoing pain that begins in the stomach area, but may spread to the back', 'joint pain or swelling', 'changes in vision, eye pain, or swelling or redness in or around the eye']"
a687003,Acebutolol,"['dizziness', 'lightheadedness', 'excessive tiredness', 'headache', 'constipation', 'diarrhea', 'upset stomach', 'nausea', 'muscle or joint pain', 'difficulty falling asleep or staying asleep', 'shortness of breath or wheezing', 'slow heart rate', 'muscle or joint pain', 'unusual weight gain', 'swelling of the hands, feet, ankles, or lower legs', 'chest pain']"
a625091,Aceclidine Ophthalmic,"['sudden onset of flashing lights, floaters or vision loss']"
a602017,Perindopril,"['cough', 'headache', 'weakness', 'dizziness', 'diarrhea', 'stomach pain', 'upset stomach', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'difficulty swallowing or breathing', 'lightheadedness', 'fainting', 'fever, sore throat, chills, and other signs of infection', 'irregular or rapid heartbeats']"
a681004,Acetaminophen,"['red, peeling or blistering skin; rash; hives; itching; swelling of the face, throat, tongue, lips, hands, feet, ankles or lower legs; hoarseness; difficulty breathing or swallowing', 'yellowing of the skin or whites of the eyes; upper belly pain; dark urine; pale stools']"
a682756,Acetazolamide,"['upset stomach', 'vomiting', 'loss of appetite', 'numbness and tingling', 'increased thirst and urination', 'drowsiness', 'headache', 'confusion', 'fever', 'rash', 'blood in urine', 'painful urination', 'yellowing of the skin or eyes', 'seizures', 'sore throat', 'unusual bleeding or bruising']"
a682098,Tetracycline,"['nausea', 'vomiting', 'diarrhea', 'itching of the rectum or vagina', 'swollen tongue', 'black or hairy tongue', 'sore or irritated throat', 'headache', 'blurred vision, seeing double, or loss of vision', 'skin rash', 'hives', 'swelling of the face, throat, tongue, lips, and eyes', 'difficulty breathing or swallowing', 'joint stiffness or swelling', 'unusual bleeding or bruising', 'chest pain', 'a return of fever, sore throat, chills, or other signs of infection', 'watery or bloody stools , stomach cramps, or fever during treatment or for up to two or more months after stopping treatment']"
a699060,Rabeprazole,"['headache', 'nausea', 'vomiting', 'constipation', 'diarrhea', 'gas', 'sore throat', 'in men, difficulty achieving or maintaining an erection', 'blistering, peeling, or bleeding skin; sores on the lips, nose, mouth, or genitals; swollen glands; shortness of breath; fever; or flu-like symptoms', 'rash; hives; itching; swelling of the eyes, face, lips, mouth, throat, or tongue; difficulty breathing or swallowing; or hoarseness', 'irregular, fast, or pounding heartbeat; muscle spasms; uncontrollable shaking of a part of the body; excessive tiredness; lightheadedness; dizziness; or seizures', 'severe diarrhea with watery stools, stomach pain, or fever that does not go away', 'new or worsening joint pain; rash on cheeks or arms that is sensitive to sunlight', 'increased or decreased urination, blood in urine, fatigue, nausea, loss of appetite, fever, rash, or joint pain']"
a601010,Acitretin,"['peeling, dry, itchy, scaling, cracked, blistered, sticky or infected skin', 'brittle or weak fingernails and toenails', 'dandruff', 'sunburn', 'abnormal skin odor', 'excessive sweating', 'hair loss', 'changes in hair texture', 'dry eyes', 'loss of eyebrows or eyelashes', 'hot flashes or flushing', 'chapped or swollen lips', 'swollen or bleeding gums', 'excessive saliva', 'tongue pain, swelling, or blistering', 'mouth swelling or blisters', 'stomach pain', 'diarrhea', 'increased appetite', 'difficulty falling or staying asleep', 'sinus infection', 'runny nose', 'dry nose', 'nosebleed', 'joint pain', 'tight muscles', 'changes in taste', 'rash', 'headache', 'extreme thirst, frequent urination, extreme hunger, blurred vision, or weakness', 'dry mouth, nausea and vomiting, shortness of breath, breath that smells fruity, and decreased consciousness', 'pain, swelling, or redness of eyes or eyelids', 'eye pain', 'eyes sensitive to light', 'swelling of hands, feet, ankles, or lower legs', 'redness or swelling in one leg only', 'depression', 'thoughts of hurting or killing yourself', 'bone, muscle, or back pain', 'difficulty moving any part of your body', 'loss of feeling in hands or feet', 'chest pain', 'slow or difficult speech', 'tingling in arms and legs', 'loss of muscle tone', 'weakness or heaviness in legs', 'cold, gray, or pale skin', 'slow or irregular heartbeat', 'dizziness', 'fast heartbeat', 'weakness', 'shortness of breath', 'ear pain or ringing']"
a613001,Aclidinium Oral Inhalation,"['headache', 'runny nose and other cold symptoms', 'cough', 'diarrhea', 'sudden shortness of breath immediately after inhaling the medication', 'eye pain or redness', 'blurred vision', 'seeing halos or bright colors around lights', 'nausea or vomiting', 'difficult, painful or frequent urination', 'weak urine stream', 'rash', 'hives', 'itching', 'swelling of the eyes, face, lips, mouth, tongue, or throat', 'difficulty breathing or swallowing']"
a625071,Acoltremon Ophthalmic,"['irritation, burning, or stinging feeling when the eye drops are instilled', 'pain, swelling, or redness of eyes or eyelids', 'eye injury']"
a625013,Acoramidis,"['diarrhea', 'stomach pain']"
a682063,Doxycycline,"['nausea', 'vomiting', 'diarrhea', 'loss of appetite', 'itching of the rectum', 'swelling, redness, burning, itching, or irritation of the vagina', 'vaginal discharge', 'painful or difficult urination', 'sore throat or nose', 'swollen tongue', 'dry mouth', 'anxiety', 'back pain', 'changes in color of skin, scars, nails, eyes, or mouth', 'headache', 'blurred vision, seeing double, or loss of vision', 'rash that may occur with fever or swollen glands', 'hives', 'skin redness, peeling or blistering', 'difficulty breathing or swallowing', 'swelling of the eyes, face, throat, tongue, or lips', 'unusual bleeding or bruising', 'watery or bloody stools, stomach cramps, or fever during treatment or for up to two or more months after stopping treatment', 'a return of fever, sore throat, chills, or other signs of infection', 'joint pain', 'discoloration of permanent (adult) teeth']"
a682543,Chlorpheniramine,"['drowsiness', 'dry mouth, nose, and throat', 'nausea', 'vomiting', 'loss of appetite', 'constipation', 'headache', 'increased chest congestion', 'vision problems', 'difficulty urinating']"
a601152,Interferon Gamma-1b Injection,"['extreme tiredness', 'diarrhea', 'nausea', 'vomiting', 'muscle or joint pain', 'dizziness', 'problems with walking', 'confusion', 'bruising, redness, swelling, bleeding, or irritation at the injection spot', 'rash', 'itching', 'difficulty breathing or swallowing', 'hives', 'swelling of the eyes, face, mouth, tongue, and throat']"
a682224,Dactinomycin,"['vomiting', 'stomach pain', 'diarrhea', 'hair loss', 'hives', 'rash', 'difficulty breathing or swallowing', 'nausea', 'extreme tiredness', 'unusual bleeding or bruising', 'sores in the mouth and throat', 'lack of energy', 'loss of appetite', 'pain in the upper right part of the stomach', 'yellowing of the skin or eyes', 'fever, sore throat, ongoing cough and congestion, or other signs of infection', 'unusual bleeding or bruising', 'black and tarry stools', 'red blood in stools']"
a625001,Alteplase Injection,"['bleeding', 'itching, rash, hives', 'swelling of face, eyelids, lips, mouth, tongue or throat', 'trouble breathing, throat or chest tightness, feeling faint', 'vomiting blood or blood in the urine or stool', 'severe headache, nausea, vomiting', 'change\r\nin consciousness or wakefulness', 'weakness or numbness in face, arm or leg (usually on one side)', 'loss of vision', 'seizures']"
a696005,Metformin,"['diarrhea', 'nausea', 'stomach discomfort', 'gas', 'indigestion', 'constipation', 'lack of energy or weakness', 'change in sense of taste', 'headache', 'flushing of the skin', 'nail changes', 'muscle pain', 'rash', 'chest pain']"
a699016,Pioglitazone,"['headache', 'muscle pain', 'pain in the arms or legs', 'sore throat', 'gas', 'changes in vision', 'vision loss', 'frequent, painful, or difficult urination', 'cloudy, discolored, or bloody urine', 'back or stomach pain']"
a693001,Ketorolac,"['headache', 'dizziness', 'drowsiness', 'diarrhea', 'constipation', 'gas', 'sores in the mouth', 'sweating', 'fever', 'blisters', 'unexplained weight gain', 'shortness of breath or difficulty breathing', 'swelling in the abdomen, ankles, feet, or legs', 'yellowing of the skin or eyes', 'excessive tiredness', 'unusual bleeding or bruising', 'lack of energy', 'nausea', 'loss of appetite', 'pain in the upper right part of the stomach', 'flu-like symptoms', 'pale skin', 'fast heartbeat', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination']"
a681045,Acyclovir,"['upset stomach', 'vomiting', 'diarrhea', 'dizziness', 'tiredness', 'agitation', 'pain, especially in the joints', 'hair loss', 'changes in vision', 'hives', 'rash or blisters', 'itching', 'difficulty breathing or swallowing', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'fast heartbeat', 'weakness', 'pale skin', 'difficulty sleeping', 'fever, sore throat, chills, cough, and other signs of infection', 'unusual bruising or bleeding', 'blood in the urine', 'stomach pain or cramps', 'bloody diarrhea', 'decreased urination', 'headache', 'hallucinations (seeing things or hearing voices that do not exist)', 'confusion', 'aggressive behavior', 'difficulty speaking', 'numbness, burning, or tingling in the arms or legs', 'temporary inability to move parts of your body', 'shaking of a part of your body that you cannot control', 'seizures', 'loss of consciousness']"
a682128,Dapsone,"['upset stomach', 'vomiting', 'sore throat', 'fever', 'rash', 'yellowing of the skin or eyes', 'unusual bruising']"
a623003,Adagrasib,"['nausea', 'vomiting', 'diarrhea', 'constipation', 'loss of appetite', 'rash', 'dry skin', 'muscle or bone pain', 'tiredness', 'numbness or tingling in your hands or feet', 'bloody vomit or vomiting blood or brown material that resembles coffee grounds', 'bloody, black, or tarry stools', 'abdominal pain or stomach cramps', 'yellowing of skin or eyes, dark-colored urine, light-colored stools, bleeding or bruising more easily than normal, loss of appetite, decreased energy, or pain on right side of stomach area', 'shortness of breath, cough, or fever', 'dizziness, lightheadedness, or fainting', 'slow or irregular heartbeat', 'decreased urination; swelling of the face, arms, hands, feet, ankles, or lower legs; or unusual tiredness or weakness']"
a620010,Crizanlizumab-tmca Injection,"['nausea', 'back or joint pain', 'fever', 'redness, pain, swelling, or burning at the site where the injection was given']"
a684028,Nifedipine,"['headache', 'nausea', 'dizziness or lightheadedness', 'flushing', 'heartburn', 'fast heartbeat', 'muscle cramps', 'constipation', 'cough', 'decreased sexual ability', 'swelling of the face, eyes, lips, tongue, hands, arms, feet, ankles, or lower legs', 'difficulty breathing or swallowing', 'fainting', 'rash', 'yellowing of the skin or eyes', 'increase in frequency or severity of chest pain (angina)']"
a682064,Amantadine,"['dry mouth', 'constipation', 'nausea', 'vomiting', 'decreased appetite', 'difficulty falling asleep or staying asleep', 'abnormal dreams', 'headache', 'confusion', 'drowsiness', 'tiredness', 'uncontrollable tightening of muscles, change from normal walking, and falls', 'lace-like purple pattern on skin', 'hallucinations (seeing things or hearing voices that do not exist)', 'believing things that are not true', 'not trusting others or feeling that others want to hurt you', 'depression', 'anxiety', 'suicidal (thinking about harming or killing oneself or planning or trying to do so)', 'lack of interest, enthusiasm, or concern', 'dizziness, lightheadedness, fainting, or blurred vision', 'swelling of the hands, feet, ankles, or lower legs', 'difficulty urinating', 'shortness of breath']"
a604001,Adapalene,"['redness', 'scaling', 'dryness', 'burning or stinging', 'pain at the application site', 'hives, itching, shortness of breath or difficulty breathing', 'swelling of the eyes, face, lips, tongue, or throat']"
a622011,Tralokinumab-ldrm injection,"['cough, runny nose, sneezing, sore throat', 'watery, red, itchy eyes', 'pain, swelling, redness at the site of injection', 'breathing problems; swelling of the mouth, face and tongue; rash; hives; itching; fainting; or dizziness', 'eye pain or changes in vision']"
a611052,Brentuximab Vedotin Injection,"['constipation', 'diarrhea', 'vomiting', 'nausea', 'mouth sores or pain', 'decreased appetite', 'weight loss', 'tiredness', 'dizziness', 'weakness', 'difficulty falling asleep or staying asleep', 'anxiety', 'dry skin', 'hair loss', 'night sweats', 'joint, bone, muscle, back, arm, or leg pain', 'muscle spasms', 'numbness, burning, or tingling in the hands, arms, feet, or legs; or muscle weakness', 'peeling or blistering skin or rash', 'fever, chills, nausea, vomiting, confusion, shortness of breath, seizures, irregular heartbeat, dark or cloudy urine, unusual tiredness, or muscle or joint pain', 'new or worsening cough or shortness of breath', 'decreased urination; swelling of the hands, feet, ankles, or lower legs; fatigue', 'fever; chills; cough; difficult, painful, or frequent urination; or other signs of infection', 'ongoing pain that begins in the stomach area but may spread to the back, nausea, or vomiting', 'pale skin, unusual tiredness or weakness, shortness of breath, or dizziness', 'yellowing of the skin or eyes, lack of energy, pain or discomfort in the right upper stomach area, dark urine, light-colored bowel movements, nausea, vomiting, or itching', 'stomach pain, black and tarry stools, blood in stools, vomit that is bloody or looks like coffee grounds', 'unusual bleeding or bruising, small red or purple spots in skin, or blood in urine,']"
a604008,Tadalafil,"['headache', 'indigestion or heartburn', 'nausea', 'diarrhea', 'flushing', 'pain in the stomach, back, muscles, arms, or legs', 'cough', 'sudden decrease or loss of vision (see below for more information)', 'blurred vision', 'changes in color vision (seeing a blue tinge on objects or having difficulty telling the difference between blue and green)', 'sudden decrease or loss of hearing (see below for more information)', 'ringing in ears', 'erection that lasts longer than 4 hours', 'dizziness', 'chest pain', 'hives', 'rash', 'difficulty breathing or swallowing', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'blistering or peeling of skin']"
a682159,Ibuprofen,"['constipation', 'gas or bloating', 'dizziness', 'nervousness', 'ringing in the ears', 'unexplained weight gain', 'shortness of breath or difficulty breathing', 'swelling of the abdomen, feet, ankles, or lower legs', 'diarrhea', 'fever, rash, blisters, or peeling skin', 'itching', 'hives', 'swelling of the eyes, face, throat, arms, or hands', 'difficulty breathing or swallowing', 'hoarseness', 'excessive tiredness', 'pain in the upper right part of the stomach', 'nausea', 'loss of appetite', 'yellowing of the skin or eyes', 'flu-like symptoms', 'pale skin', 'fast heartbeat', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination', 'blurred vision, changes in color vision, or other vision problems', 'headache, stiff neck, fever']"
a605027,Dextroamphetamine,"['headache', 'dry mouth', 'unpleasant taste', 'constipation', 'weight loss', 'changes in sex drive or ability', 'seizures', 'mood changes', 'believing things that are not true, feeling unusually suspicious of others', 'agitation, hallucinations (seeing things or hearing voices that do not exist), fever, sweating, confusion, fast heartbeat, shivering, severe muscle stiffness or twitching, loss of coordination, nausea, vomiting, or diarrhea', 'chest pain, shortness of breath, fainting', 'abnormal movements', 'verbal tics', 'changes in vision or blurred vision', 'hives', 'paleness or blue color of fingers or toes', 'pain, burning, or tingling in the hands or feet; unexplained wounds appearing on fingers or toes']"
a615040,Flibanserin,"['nausea', 'tiredness', 'difficulty falling asleep or staying asleep', 'dry mouth', 'constipation', 'excessive sleepiness', 'hoarseness; difficulty breathing or swallowing', 'hives; itching', 'swelling of the face, lips, or mouth']"
a615005,Riociguat,"['headache', 'constipation', 'heartburn', 'upset stomach', 'nausea', 'vomiting', 'diarrhea', 'swelling of your hands, legs, feet, and ankles', 'coughing up pink, frothy sputum or blood', 'fainting', 'chest pain', 'shortness of breath']"
a682188,Methylphenidate,"['nervousness', 'irritability', 'difficulty falling asleep or staying asleep', 'dizziness', 'nausea', 'vomiting', 'loss of appetite', 'weight loss', 'stomach pain', 'diarrhea', 'heartburn', 'dry mouth', 'headache', 'muscle tightness', 'drowsiness', 'uncontrollable movement of a part of the body', 'restlessness', 'decreased sexual desire', 'heavy sweating', 'back pain', 'fast, pounding, or irregular heartbeat; chest pain; shortness of breath; excessive tiredness; or fainting', 'seizures', 'changes in vision or blurred vision', 'agitation, believing things that are not true, feeling unusually suspicious of others, hallucinating (seeing things or hearing voices that do not exist)', 'motor tics or verbal tics', 'depression, abnormally excited mood, or mood changes', 'frequent, painful erections or erection that lasts longer than 4 hours', 'numbness, pain, or sensitivity to temperature in the fingers or toes; skin color change from pale to blue to red in the fingers or toes; or unexplained wounds on the fingers or toes', 'hives; rash; itching; blistering or peeling skin, swelling of the eyes, face, lips, mouth, tongue, or throat; difficulty breathing or swallowing; or hoarseness']"
a682187,Phentermine,"['dry mouth', 'unpleasant taste', 'diarrhea', 'constipation', 'vomiting', 'increased blood pressure', 'heart palpitations', 'restlessness', 'dizziness', 'tremor', 'insomnia', 'shortness of breath', 'chest pain', 'swelling of the legs and ankles', 'difficulty doing exercise that you have been able to do']"
a617005,Lixisenatide Injection,"['nausea, vomiting, diarrhea', 'constipation', 'indigestion', 'bloating', 'headache', 'pain, itching, or redness at the injection site', 'ongoing pain that begins in the upper left or middle of the stomach but may spread to the back, with or without vomiting', 'hives, rash, itching', 'pounding heartbeat', 'fainting or feeling dizzy', 'swelling of the eyes, face, mouth, tongue, throat, feet, ankles, or lower legs', 'difficulty swallowing or breathing', 'hoarseness', 'decreased urination,', 'very dry mouth or skin or extreme thirst', 'severe stomach problems']"
a697021,Insulin Lispro Injection,"['redness, swelling, or itching in the place where you injected insulin lispro', 'changes in the feel of your skin such as skin thickening or a little indentation or lumps in the skin', 'weight gain', 'constipation', 'rash and itching,\r\ndifficulty breathing,\r\nhives,\r\nwheezing,\r\nfast heartbeat,\r\nsweating,\r\nand feeling drowsy, dizzy or confused', 'swelling of the face, tongue, or throat', 'weakness, muscle cramps, abnormal heartbeat', 'shortness of breath', 'large weight gain in a short period of time', 'swelling of the arms, hands, feet, ankles, or lower legs']"
